omop_concept_id,ingredient_name,cem_n_conditions,cem_n_faers_pairs,cem_n_semmeddb_pairs,cem_faers_case_count_sum,cem_faers_prr_median
42899564,Ononis campestris root extract,1.0,0.0,1.0,0.0,
19010943,Opiates,174.0,174.0,0.0,309.0,4.773759999999999
43532074,Opuntia ficus-indica extract,1.0,0.0,1.0,0.0,
35200319,Opuntia ficus-indica seed oil,1.0,0.0,1.0,0.0,
571187,OspA protein,38.0,38.0,1.0,38.0,22.791865
40692698,Oteracil,4.0,0.0,4.0,0.0,
873222,Oteracil potassium,14.0,0.0,14.0,0.0,
19059511,Ox bile extract,5.0,5.0,0.0,5.0,119.27199
19070957,"PNEUMOCOCCAL VACCINE, DIPHTHERIA CONJUGATE",67.0,67.0,0.0,91.0,13.98605
42899587,Paeonia lactiflora root extract,1.0,0.0,1.0,0.0,
43012860,Panax notoginseng root extract,5.0,0.0,5.0,0.0,
19065820,Passiflora incarnata extract,5.0,4.0,1.0,6.0,131.464495
42899638,Pelargonium sidoides root extract,1.0,0.0,1.0,0.0,
19126544,Penicillin,1522.0,1522.0,0.0,14170.0,1.71122
42899601,Perilla frutescens leaf extract,1.0,0.0,1.0,0.0,
42899556,Perilla frutescens leaf oil,1.0,1.0,0.0,1.0,
922976,Peruvian balsam,31.0,31.0,0.0,38.0,8.78407
42904128,Petroselinum crispum extract,1.0,0.0,1.0,0.0,
873924,Phosphorylcolamine,10.0,0.0,10.0,0.0,
42899876,Phyllanthus emblica fruit extract,1.0,0.0,1.0,0.0,
21234711,Pixantrone,3.0,0.0,3.0,0.0,
19132965,Plantago seed,16.0,16.0,0.0,17.0,59.875975
42899925,Platycodon grandiflorum root extract,1.0,0.0,1.0,0.0,
19008972,Pneumococcal vaccine,503.0,503.0,0.0,1346.0,2.31985
551977,"Poliovirus Vaccine, Inactivated",10.0,10.0,0.0,10.0,651.9448600000001
1378796,Polypodium leucotomos,22.0,0.0,22.0,0.0,
19135781,Polysaccharides,45.0,45.0,0.0,59.0,18.9244
561429,Polyvalent pneumococcal vaccine,29.0,29.0,0.0,39.0,8.95712
43532145,Porphyra yezoensis extract,1.0,0.0,1.0,0.0,
19054248,Proteins,49.0,49.0,0.0,59.0,7.54856
964165,Prunella vulgaris extract,1.0,0.0,1.0,0.0,
42899953,Prunus armeniaca seed extract,14.0,14.0,0.0,14.0,68.14975
42543805,QS-21,1.0,0.0,1.0,0.0,
19056506,ROSE HIPS,11.0,11.0,0.0,13.0,18.39741
19052552,Rabies antigen,66.0,66.0,0.0,111.0,9.07598
19135932,Rauwolfia alkaloids,1.0,1.0,0.0,1.0,201.54075
1326378,Rauwolfia preparation,6.0,4.0,2.0,4.0,208.10761
19113002,Recombinant Interferon,28.0,28.0,0.0,34.0,12.431215
36943507,Regdanvimab,2.0,0.0,2.0,0.0,
42899772,Rehmannia glutinosa root extract,1.0,0.0,1.0,0.0,
535714,Rho(D) immune globulin,493.0,487.0,12.0,2388.0,2.35579
19070958,Rhus toxicodendron extract,3.0,0.0,3.0,0.0,
19098980,Ringer's solution,299.0,299.0,0.0,696.0,3.06738
