ingredient_concept_id,ingredient_name
19088035,detomidine
1518254,dexamethasone
1188052,dexbrompheniramine
1188114,dexchlorpheniramine
19082894,dexetimide
719057,dexfenfluramine
19056874,dexketoprofen
19039926,dexlansoprazole
19061088,dexmedetomidine
731533,dexmethylphenidate
988294,dexpanthenol
1353011,dexrazoxane
1352890,dextran
19099359,dextran 110
19019122,dextran 40
1319156,dextran 70
19088340,dextranomer
719311,dextroamphetamine
1119510,dextromethorphan
19021940,dextromoramide
19097059,DEXTROSE SOLUTION
19022003,dextrothyroxine
19088393,dezocine
43531843,diacetyl benzoyl lathyrol
19022596,diatrizoate
45775324,diatrizoic acid
723013,diazepam
42900239,diazolidinylurea
1523280,diazoxide
19076714,dibasic potassium phosphate
19023508,dibekacin
19023846,dibenzepin
19089408,dibrompropamidine
923840,dibucaine
19045601,dibunate
1361444,dibutyltin
1189490,dichloralphenazone
19024246,dichloroacetate
19054875,dichlorobenzyl alcohol
924296,dichlorphenamide
43014039,diclazuril
1124300,diclofenac
43526405,dicloran
1724666,dicloxacillin
1734608,dictamnine
1325124,dicumarol
924724,dicyclomine
1724869,didanosine
40226492,didecyldimethylammonium chloride
1146045,didodecyldimethylammonium bromide
925102,dienestrol
19054876,dienogest
37003242,diethyl azelate
43533048,diethyl sulfate
19029278,diethylamine salicylate
19025698,diethylcarbamazine
43532333,diethyldithiocarbamate
43533066,diethylene glycol
42900243,diethylene glycol monoethyl ether
